Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent of Households,Notes Number,Notes Percent of Households
2013-17,Neighborhood (UHF 42),Manhattan, East Harlem,303,Crowding (> 1 person/room),"3,481",7.6,,
2013-17,Neighborhood (UHF 42),Brooklyn, East New York,204,Crowding (> 1 person/room),"8,864",13.8,,
2013-17,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Crowding (> 1 person/room),"7,945",8.7,,
2013-17,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Crowding (> 1 person/room),"15,008",16.8,,
2013-17,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Crowding (> 1 person/room),"2,877",8.3,,
2013-17,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Crowding (> 1 person/room),"2,883",4,,
2013-17,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Crowding (> 1 person/room),"4,622",8.2,,
2013-17,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Crowding (> 1 person/room),"2,523",5.9,,
2013-17,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Crowding (> 1 person/room),"11,507",15.4,,
2013-17,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Crowding (> 1 person/room),"5,848",12.5,,
2013-17,Neighborhood (UHF 42),Queens, Jamaica,408,Crowding (> 1 person/room),"10,174",10.7,,
2013-17,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Crowding (> 1 person/room),"2,525",6.8,,
2013-17,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Crowding (> 1 person/room),"6,313",7.1,,
2013-17,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Crowding (> 1 person/room),"2,196",7.9,,
2013-17,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Crowding (> 1 person/room),"5,474",7.8,,
2013-17,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Crowding (> 1 person/room),"10,206",9.4,,
2013-17,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Crowding (> 1 person/room),"1,417",6.2,,
2013-17,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Crowding (> 1 person/room),"6,357",6.3,,
2013-17,Neighborhood (UHF 42),Queens, Rockaways,410,Crowding (> 1 person/room),"3,029",7.4,,
2013-17,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Crowding (> 1 person/room),"1,405",2.1,,
2013-17,Neighborhood (UHF 42),Queens, Southeast Queens,409,Crowding (> 1 person/room),"3,289",4,,
2013-17,Neighborhood (UHF 42),Queens, Southwest Queens,407,Crowding (> 1 person/room),"7,392",8.8,,
2013-17,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Crowding (> 1 person/room),"2,575",5.9,,
2013-17,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Crowding (> 1 person/room),"8,508",22.6,,
2013-17,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Crowding (> 1 person/room),"5,097",5.7,,
2013-17,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Crowding (> 1 person/room),"4,537",3.9,,
2013-17,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Crowding (> 1 person/room),"3,067",2.9,,
2013-17,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Crowding (> 1 person/room),"11,278",11.9,,
2013-17,Neighborhood (UHF 42),Queens, West Queens,402,Crowding (> 1 person/room),"25,085",17.2,,
2013-17,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Crowding (> 1 person/room),"8,424",10.9,,
2013-17,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Crowding (> 1 person/room),"1,447",4.6,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Crowding (> 1 person/room),"4,656",6.4,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Crowding (> 1 person/room),"5,025",10.5,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Crowding (> 1 person/room),"1,467",3.4,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Crowding (> 1 person/room),"4,417",8.5,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Crowding (> 1 person/room),"2,877",4.8,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bensonhurst,21,Crowding (> 1 person/room),"8,615",13.5,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Borough Park,22,Crowding (> 1 person/room),"9,295",20.3,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brooklyn Heights/Fort Greene,12,Crowding (> 1 person/room),"3,551",6.1,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brownsville/Ocean Hill,26,Crowding (> 1 person/room),"3,301",7.4,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bushwick,14,Crowding (> 1 person/room),"5,335",11.6,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Central Harlem,36,Crowding (> 1 person/room),"3,496",6.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Chelsea/Clinton/Midtown,31,Crowding (> 1 person/room),"3,507",4.1,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Coney Island,23,Crowding (> 1 person/room),"4,394",9.6,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East Flatbush,27,Crowding (> 1 person/room),"4,031",8.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - East Harlem,37,Crowding (> 1 person/room),"3,812",7.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East New York/Starret City,15,Crowding (> 1 person/room),"7,798",14.3,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Elmhurst/Corona,42,Crowding (> 1 person/room),"9,362",22,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatbush,24,Crowding (> 1 person/room),"7,947",13.8,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatlands/Canarsie,28,Crowding (> 1 person/room),"5,029",7.3,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Flushing/Whitestone,45,Crowding (> 1 person/room),"8,016",9.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Forest Hills/Rego Park,44,Crowding (> 1 person/room),"3,634",7,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Greenwich Village/Financial District,29,Crowding (> 1 person/room),"4,429",5.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Highbridge/South Concourse,3,Crowding (> 1 person/room),"8,174",16.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Hillcrest/Fresh Meadows,46,Crowding (> 1 person/room),"5,537",10,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Howard Beach/South Ozone Park,48,Crowding (> 1 person/room),"3,044",7.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Jackson Heights,41,Crowding (> 1 person/room),"10,061",18.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Jamaica,50,Crowding (> 1 person/room),"7,163",10.1,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Kew Gardens/Woodhaven,47,Crowding (> 1 person/room),"4,348",9.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Kingsbridge Heights/Mosholu,5,Crowding (> 1 person/room),"7,924",17.6,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Lower East Side/Chinatown,30,Crowding (> 1 person/room),"4,935",6.8,,
2013-17,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - Mid Island,54,Crowding (> 1 person/room),"2,183",4.6,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Middle Village/Ridgewood,43,Crowding (> 1 person/room),"3,647",5.9,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Morningside Heights/Hamilton Heights,35,Crowding (> 1 person/room),"2,906",6.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Morrisania/East Tremont,2,Crowding (> 1 person/room),"7,995",13.9,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Mott Haven/Hunts Point,1,Crowding (> 1 person/room),"6,346",12.5,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - N. Crown Heights/Prospect Heights,18,Crowding (> 1 person/room),"3,084",5.8,,
2013-17,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - North Shore,53,Crowding (> 1 person/room),"3,575",5.9,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Park Slope/Carroll Gardens,16,Crowding (> 1 person/room),"2,458",5,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Pelham Parkway,9,Crowding (> 1 person/room),"4,685",10.5,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Riverdale/Kingsbridge,6,Crowding (> 1 person/room),"3,959",9.3,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Rockaways,52,Crowding (> 1 person/room),"3,029",7.4,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Sheepshead Bay/Gravesend,25,Crowding (> 1 person/room),"5,336",9.4,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Soundview/Parkchester,7,Crowding (> 1 person/room),"7,118",11,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - South Crown Heights,19,Crowding (> 1 person/room),"4,004",9.6,,
2013-17,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - South Shore,55,Crowding (> 1 person/room),"1,086",1.9,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Stuyvesant Town/Turtle Bay,32,Crowding (> 1 person/room),"3,256",4.1,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Sunnyside/Woodside,40,Crowding (> 1 person/room),"6,395",12.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Sunset Park,17,Crowding (> 1 person/room),"8,963",19.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Throgs Neck/Co-op City,8,Crowding (> 1 person/room),"2,492",5.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - University Heights/Fordham,4,Crowding (> 1 person/room),"8,008",17.7,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Upper East Side,34,Crowding (> 1 person/room),"4,405",3.8,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Upper West Side,33,Crowding (> 1 person/room),"2,876",2.9,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Washington Heights/Inwood,38,Crowding (> 1 person/room),"9,685",12.8,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Williamsbridge/Baychester,10,Crowding (> 1 person/room),"4,478",9.2,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Williamsburg/Greenpoint,11,Crowding (> 1 person/room),"5,580",8.7,,
2013-17,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Crowding (> 1 person/room),"5,025",10.5,,
2013-17,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Crowding (> 1 person/room),"1,467",3.4,,
2013-17,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Crowding (> 1 person/room),"4,417",8.5,,
2013-17,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Crowding (> 1 person/room),"7,995",13.9,,
2013-17,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Crowding (> 1 person/room),"8,615",13.5,,
2013-17,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Crowding (> 1 person/room),"9,295",20.3,,
2013-17,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Crowding (> 1 person/room),"3,301",7.4,,
2013-17,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Crowding (> 1 person/room),"5,335",11.6,,
2013-17,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Crowding (> 1 person/room),"3,496",6.2,,
2013-17,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Crowding (> 1 person/room),"3,507",4.1,,
2013-17,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Crowding (> 1 person/room),"4,394",9.6,,
2013-17,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Crowding (> 1 person/room),"3,084",5.8,,
2013-17,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Crowding (> 1 person/room),"4,031",8.2,,
2013-17,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Crowding (> 1 person/room),"3,812",7.7,,
2013-17,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Crowding (> 1 person/room),"7,798",14.3,,
2013-17,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Crowding (> 1 person/room),"9,362",22,,
2013-17,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Crowding (> 1 person/room),"4,429",5.7,,
2013-17,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Crowding (> 1 person/room),"7,947",13.8,,
2013-17,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Crowding (> 1 person/room),"5,029",7.3,,
2013-17,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Crowding (> 1 person/room),"8,016",9.2,,
2013-17,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Crowding (> 1 person/room),"8,008",17.7,,
2013-17,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Crowding (> 1 person/room),"3,551",6.1,,
2013-17,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Crowding (> 1 person/room),"5,580",8.7,,
2013-17,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Crowding (> 1 person/room),"4,429",5.7,,
2013-17,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Crowding (> 1 person/room),"8,174",16.7,,
2013-17,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Crowding (> 1 person/room),"5,537",10,,
2013-17,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Crowding (> 1 person/room),"6,346",12.5,,
2013-17,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Crowding (> 1 person/room),"10,061",18.7,,
2013-17,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Crowding (> 1 person/room),"7,163",10.1,,
2013-17,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Crowding (> 1 person/room),"4,348",9.7,,
2013-17,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Crowding (> 1 person/room),"7,924",17.6,,
2013-17,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Crowding (> 1 person/room),"4,656",6.4,,
2013-17,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Crowding (> 1 person/room),"4,935",6.8,,
2013-17,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Crowding (> 1 person/room),"3,507",4.1,,
2013-17,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Crowding (> 1 person/room),"2,906",6.2,,
2013-17,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Crowding (> 1 person/room),"4,685",10.5,,
2013-17,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Crowding (> 1 person/room),"7,995",13.9,,
2013-17,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Crowding (> 1 person/room),"6,346",12.5,,
2013-17,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Crowding (> 1 person/room),"2,458",5,,
2013-17,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Crowding (> 1 person/room),"7,118",11,,
2013-17,Neighborhood (Community District),Queens, Queens Village (CD13),413,Crowding (> 1 person/room),"2,877",4.8,,
2013-17,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Crowding (> 1 person/room),"3,634",7,,
2013-17,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Crowding (> 1 person/room),"3,647",5.9,,
2013-17,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Crowding (> 1 person/room),"3,959",9.3,,
2013-17,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Crowding (> 1 person/room),"3,029",7.4,,
2013-17,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Crowding (> 1 person/room),"5,336",9.4,,
2013-17,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Crowding (> 1 person/room),"2,183",4.6,,
2013-17,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Crowding (> 1 person/room),"4,004",9.6,,
2013-17,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Crowding (> 1 person/room),"3,044",7.7,,
2013-17,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Crowding (> 1 person/room),"3,575",5.9,,
2013-17,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Crowding (> 1 person/room),"3,256",4.1,,
2013-17,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Crowding (> 1 person/room),"8,963",19.7,,
2013-17,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Crowding (> 1 person/room),"2,492",5.2,,
2013-17,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Crowding (> 1 person/room),"1,086",1.9,,
2013-17,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Crowding (> 1 person/room),"4,405",3.8,,
2013-17,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Crowding (> 1 person/room),"2,876",2.9,,
2013-17,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Crowding (> 1 person/room),"9,685",12.8,,
2013-17,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Crowding (> 1 person/room),"4,478",9.2,,
2013-17,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Crowding (> 1 person/room),"6,395",12.2,,
2013-17,Neighborhood (NTA),Bronx, Allerton-Pelham Gardens,531,Crowding (> 1 person/room),719,7.6,,
2013-17,Neighborhood (NTA),Staten Island, Annadale-Huguenot-Prince's Bay-Eltingville,8501,Crowding (> 1 person/room),149,1.5,,
2013-17,Neighborhood (NTA),Staten Island, Arden Heights,8548,Crowding (> 1 person/room),187,2.1,,
2013-17,Neighborhood (NTA),Queens, Astoria,8170,Crowding (> 1 person/room),"1,954",5.8,,
2013-17,Neighborhood (NTA),Queens, Auburndale,8148,Crowding (> 1 person/room),171,2.5,,
2013-17,Neighborhood (NTA),Queens, Baisley Park,8176,Crowding (> 1 person/room),910,8.2,,
2013-17,Neighborhood (NTA),Brooklyn, Bath Beach,4727,Crowding (> 1 person/room),"1,219",10.9,,
2013-17,Neighborhood (NTA),Manhattan, Battery Park City-Lower Manhattan,6125,Crowding (> 1 person/room),"1,829",8.3,,
2013-17,Neighborhood (NTA),Brooklyn, Bay Ridge,4731,Crowding (> 1 person/room),"3,066",9.2,,
2013-17,Neighborhood (NTA),Queens, Bayside-Bayside Hills,8146,Crowding (> 1 person/room),533,3.4,,
2013-17,Neighborhood (NTA),Brooklyn, Bedford,4775,Crowding (> 1 person/room),"2,985",11.4,,
2013-17,Neighborhood (NTA),Bronx, Bedford Park-Fordham North,505,Crowding (> 1 person/room),"3,231",16.7,,
2013-17,Neighborhood (NTA),Queens, Bellerose,8143,Crowding (> 1 person/room),416,5,,
2013-17,Neighborhood (NTA),Bronx, Belmont,506,Crowding (> 1 person/room),"1,596",17.3,,
2013-17,Neighborhood (NTA),Brooklyn, Bensonhurst East,4729,Crowding (> 1 person/room),"2,804",12.5,,
2013-17,Neighborhood (NTA),Brooklyn, Bensonhurst West,4728,Crowding (> 1 person/room),"4,592",15.3,,
2013-17,Neighborhood (NTA),Brooklyn, Borough Park,4788,Crowding (> 1 person/room),"6,465",24.2,,
2013-17,Neighborhood (NTA),Queens, Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,8110,Crowding (> 1 person/room),423,3.9,,
2013-17,Neighborhood (NTA),Queens, Briarwood-Jamaica Hills,8135,Crowding (> 1 person/room),"2,042",14.4,,
2013-17,Neighborhood (NTA),Brooklyn, Brighton Beach,4719,Crowding (> 1 person/room),"2,194",15.1,,
2013-17,Neighborhood (NTA),Bronx, Bronxdale,507,Crowding (> 1 person/room),"1,577",11.2,,
2013-17,Neighborhood (NTA),Brooklyn, Brooklyn Heights-Cobble Hill,4709,Crowding (> 1 person/room),406,3.6,,
2013-17,Neighborhood (NTA),Brooklyn, Brownsville,4781,Crowding (> 1 person/room),"1,445",6.7,,
2013-17,Neighborhood (NTA),Brooklyn, Bushwick North,4777,Crowding (> 1 person/room),"2,892",14.9,,
2013-17,Neighborhood (NTA),Brooklyn, Bushwick South,4778,Crowding (> 1 person/room),"2,443",9.2,,
2013-17,Neighborhood (NTA),Queens, Cambria Heights,8133,Crowding (> 1 person/room),118,1.9,,
2013-17,Neighborhood (NTA),Brooklyn, Canarsie,4750,Crowding (> 1 person/room),"2,053",7.1,,
2013-17,Neighborhood (NTA),Brooklyn, Carroll Gardens-Columbia Street-Red Hook,4733,Crowding (> 1 person/room),"1,122",6.2,,
2013-17,Neighborhood (NTA),Manhattan, Central Harlem North-Polo Grounds,6103,Crowding (> 1 person/room),"2,423",6.7,,
2013-17,Neighborhood (NTA),Manhattan, Central Harlem South,6111,Crowding (> 1 person/room),"1,073",5.4,,
2013-17,Neighborhood (NTA),Staten Island, Charleston-Richmond Valley-Tottenville,8511,Crowding (> 1 person/room),224,2.8,,
2013-17,Neighborhood (NTA),Manhattan, Chinatown,6127,Crowding (> 1 person/room),"2,409",13,,
2013-17,Neighborhood (NTA),Bronx, Claremont-Bathgate,501,Crowding (> 1 person/room),"1,775",16.1,,
2013-17,Neighborhood (NTA),Manhattan, Clinton,6115,Crowding (> 1 person/room),"1,111",4,,
2013-17,Neighborhood (NTA),Brooklyn, Clinton Hill,4769,Crowding (> 1 person/room),858,5.3,,
2013-17,Neighborhood (NTA),Queens, College Point,8123,Crowding (> 1 person/room),589,7.6,,
2013-17,Neighborhood (NTA),Bronx, Co-op City,513,Crowding (> 1 person/room),"1,176",6,,
2013-17,Neighborhood (NTA),Queens, Corona,8125,Crowding (> 1 person/room),"3,924",24,,
2013-17,Neighborhood (NTA),Bronx, Crotona Park East,575,Crowding (> 1 person/room),950,12.2,,
2013-17,Neighborhood (NTA),Brooklyn, Crown Heights North,4761,Crowding (> 1 person/room),"2,741",6.2,,
2013-17,Neighborhood (NTA),Brooklyn, Crown Heights South,4763,Crowding (> 1 person/room),"1,324",8.8,,
2013-17,Neighborhood (NTA),Brooklyn, Cypress Hills-City Line,4783,Crowding (> 1 person/room),"3,004",20.7,,
2013-17,Neighborhood (NTA),Queens, Douglas Manor-Douglaston-Little Neck,8145,Crowding (> 1 person/room),307,3.1,,
2013-17,Neighborhood (NTA),Brooklyn, DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4738,Crowding (> 1 person/room),"1,493",8.2,,
2013-17,Neighborhood (NTA),Brooklyn, Dyker Heights,4730,Crowding (> 1 person/room),"1,959",13.3,,
2013-17,Neighborhood (NTA),Bronx, East Concourse-Concourse Village,514,Crowding (> 1 person/room),"3,781",16.9,,
2013-17,Neighborhood (NTA),Queens, East Elmhurst,8127,Crowding (> 1 person/room),"1,004",17.2,,
2013-17,Neighborhood (NTA),Brooklyn, East Flatbush-Farragut,4791,Crowding (> 1 person/room),"1,404",7.6,,
2013-17,Neighborhood (NTA),Queens, East Flushing,8152,Crowding (> 1 person/room),688,8.4,,
2013-17,Neighborhood (NTA),Manhattan, East Harlem North,6134,Crowding (> 1 person/room),"2,100",8.4,,
2013-17,Neighborhood (NTA),Manhattan, East Harlem South,6133,Crowding (> 1 person/room),"1,712",7,,
2013-17,Neighborhood (NTA),Brooklyn, East New York,4782,Crowding (> 1 person/room),"4,689",14,,
2013-17,Neighborhood (NTA),Brooklyn, East New York (Pennsylvania Ave),4785,Crowding (> 1 person/room),777,7.6,,
2013-17,Neighborhood (NTA),Bronx, East Tremont,517,Crowding (> 1 person/room),"1,749",11.5,,
2013-17,Neighborhood (NTA),Manhattan, East Village,6122,Crowding (> 1 person/room),923,4.2,,
2013-17,Neighborhood (NTA),Brooklyn, East Williamsburg,4790,Crowding (> 1 person/room),907,5.6,,
